test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
caries-1127-_jpeg.rf.ec47ab13404b918d2736abadcd702268.jpg,caries-347-_jpeg.rf.d65278f270343624d892f40ef1906120.jpg,122,duplicate,yes,original_run
caries-887-_jpeg.rf.313969cbd1e8948d1db496a10edebd36.jpg,caries-1626-_jpeg.rf.c3be7c9e438131beaddb7aefaa61b25d.jpg,121,duplicate,yes,original_run
tooth_discolation-1002-_jpeg.rf.3e34783e83312bb61a862480d81797cf.jpg,tooth_discolation-503-_jpeg.rf.696f0c10201c94c1c891e4b1cde6702e.jpg,120,duplicate,yes,original_run
ulcer-442-_jpeg.rf.9f7658658c1b2bbab2cb2153daf05eeb.jpg,ulcer-1955-_jpeg.rf.9ee0172a913cbcc435dab5007ee86e59.jpg,119,duplicate,yes,original_run
tooth_discolation-558-_jpeg.rf.26e275feaf773e442e48ff2ed74e1779.jpg,tooth_discolation-681-_jpeg.rf.813ad0d3796b14119b64271ab55ba1b5.jpg,118,duplicate,yes,original_run
ulcer-199-_jpeg.rf.62eca50343173347d168eb24647fb5b8.jpg,ulcer-2316-_jpeg.rf.901420ed8fb7b4cfb6c0fe880e4ab8f4.jpg,118,duplicate,yes,original_run
ulcer-2034-_jpeg.rf.dde6feaf4ebb5fc05b26c47aca95dbb6.jpg,ulcer-1458-_jpeg.rf.e8d331f91abe71aa793763d55dc6357c.jpg,116,duplicate,yes,original_run
ulcer-47-_jpeg.rf.a777f9378e862a522acd66116b7e7e9e.jpg,ulcer-691-_jpeg.rf.70ee46b38c1e24ad95df415060e5fa1c.jpg,114,duplicate,yes,original_run
calculus-728-_jpg.rf.2ad04dd63bf8a90b65f35c9be931cc58.jpg,calculus-584-_jpg.rf.08d5d60cd1e0eed8d706f6b07a86e57c.jpg,113,duplicate,yes,original_run
ulcer-54-_jpeg.rf.c59deaae0749f833e592d93be41f2d19.jpg,ulcer-674-_jpeg.rf.b83fd4e89128db309932eff8db1cc264.jpg,113,duplicate,yes,original_run
hypodontia-1083-_jpg.rf.95bb5136cdd893415a4d5fcfebf36ebb.jpg,hypodontia-944-_jpg.rf.ce942581a8bf275e545c8c936a2589a4.jpg,113,duplicate,yes,original_run
ulcer-2429-_jpeg.rf.72f4e316c9b347edadba27c0de63a980.jpg,ulcer-1749-_jpeg.rf.4b533d6f2152b2efc94f62271d14bdac.jpg,99,duplicate,yes,original_run
tooth_discolation-1731-_jpeg.rf.3f037358a472ae0d9075a2d65401f141.jpg,tooth_discolation-641-_jpeg.rf.dcbc5b62fcf451ca52a6c74db0243c2c.jpg,96,duplicate,yes,original_run
ulcer-1408-_jpeg.rf.311202f887b92b1fc9c12f3523c2ca0a.jpg,ulcer-2316-_jpeg.rf.901420ed8fb7b4cfb6c0fe880e4ab8f4.jpg,94,duplicate,yes,original_run
calculus-454-_jpg.rf.97128a52980eabcecac2837c5b0d60fa.jpg,hypodontia-445-_JPG.rf.71ccdf3b906ec37b17d2cb2d98c63ac4.jpg,92,duplicate,yes,original_run
tooth_discolation-672-_jpeg.rf.8c717779b4f526d76b05e243d8ca884a.jpg,tooth_discolation-1433-_jpeg.rf.436c3318032c3442d743d48315ac9d1f.jpg,92,duplicate,yes,original_run
ulcer-2152-_jpeg.rf.f963d284dc8811d75fb78832263f14e4.jpg,ulcer-2393-_jpeg.rf.b2a2f3bcfae762492ba36e676753f0e7.jpg,92,duplicate,yes,original_run
caries-118-_jpeg.rf.296582ec1167bfa17f39fc061e225fea.jpg,caries-651-_jpeg.rf.a20a0c52031e3527d706e7c49609004c.jpg,89,duplicate,yes,original_run
gingivitis-959-_jpg.rf.2805ecf6b1188173704422f50c87cd1d.jpg,hypodontia-445-_JPG.rf.71ccdf3b906ec37b17d2cb2d98c63ac4.jpg,89,duplicate,yes,original_run
caries-1959-_jpeg.rf.bb942be1a3454491fbad26fe142e1a2c.jpg,caries-1354-_jpeg.rf.32a87331f4fba300ce9d3883ad1909f0.jpg,88,duplicate,yes,original_run
